endpoint,summary,description letter count,current description,new description,new description size,questions,,,
DELETE /v1/transformations/{transformationId},Delete a Transformation,50,Deletes a transformation if a valid identifier is provided.,,,,,,
POST /v1/transformations/{transformationId}/run,Run Transformation,49,Runs the transformation if a valid identifier is provided.,,,,,,
GET /v1/system-keys,List All System Keys,49,Returns a list of system keys within your Fivetran account.,,,,,,
PATCH /v1/hybrid-deployment-agents/{agentId}/re-auth,Regenerate Authentication Keys,49,Regenerate authentication for a Hybrid Deployment Agent.,,,,,,
GET /v1/users/{userId}/connections/{connectionId},Retrieve Connection Membership,48,Returns the details of a user's membership in a connection.,,,,,,
GET /v1/groups,List All Destinations within Account,48,Returns a list of all groups within your Fivetran account.,,,,,,
GET /v1/groups/{groupId},Retrieve Group Details,48,Returns a group object if a valid identifier was provided.,,,,,,
POST /v1/transformation-projects/{projectId}/test,Test Transformation Project,47,Triggers tests for an existing transformation project.,,,,,,
GET /v1/account/info,Get Account Info from the API Key,47,Returns information about current account from API key.,,,,,,
GET /v1/users/{userId},Retrieve User Details,47,Returns a user object if a valid identifier was provided.,,,,,,
GET /v1/users,List All Users,47,Returns a list of all users within your Fivetran account.,,,,,,
GET /v1/teams,List All Teams,47,Returns a list of all teams within your Fivetran account,,,,,,
POST /v1/groups/{groupId}/users,Add a User to a Group,47,Adds an existing user to a group in your Fivetran account.,,,,,,
POST /v1/proxy,Create a Proxy Agent,46,Creates a new proxy agent within your Fivetran account.,,,,,,
GET /v1/connector-sdk/packages/{package_id},Retrieve Connector SDK Package Details,45,Returns details for a specific Connector SDK package.,,,,,,
GET /v1/teams/{teamId}/connections/{connectionId},Retrieve Connection Membership,44,Returns details of a team membership in a connection.,,,,,,
GET /v1/proxy/{agentId},Retrieve Proxy Agent Details,43,Retrieves the details of the specified proxy agent.,,,,,,
POST /v1/system-keys,Create a System Key,43,Creates a new system key with your Fivetran account.,,,,,,
